cleaner,drop_q,fit_count,weight,model,threshold,train_mra,test_mra,p75,benefit,tie,harm,delta_sum
geom,0.1,1180,delta_clean2,lgbm,0.028175441027479778,32.10526315789474,32.42053789731052,202,54,70,78,5.399999999999999
geom,0.2,1049,clean,xgb,-0.013884180119331882,32.1815408085431,32.42053789731052,161,47,49,65,5.3999999999999995
geom,0.3,918,delta_clean,rf,0.015009994518860526,31.937452326468346,32.42053789731052,184,54,55,75,5.399999999999999
linear,0.0,1311,clean,lgbm,-0.006703808010959184,32.33409610983982,32.40831295843521,158,46,46,66,5.300000000000002
geom,0.0,1311,clean,gbrt,-0.021763878819074347,32.151029748283754,32.40831295843521,176,49,54,73,5.300000000000001
geom,0.2,1049,delta_clean,lgbm,0.045522623980817405,32.06712433257056,32.40831295843521,165,46,52,67,5.300000000000001
recall,0.0,1311,delta_clean2,lgbm,0.03386753211154636,32.082379862700236,32.40831295843521,183,50,62,71,5.300000000000002
recall,0.2,1049,clean,lgbm,-0.012245603414043078,32.288329519450805,32.40831295843521,159,45,44,70,5.300000000000001
recall,0.0,1311,delta_clean,dt2,0.08599638200640573,31.006864988558352,32.396088019559905,164,46,53,65,5.2
recall,0.0,1311,delta_clean,dt3,0.027379488153529613,31.006864988558352,32.396088019559905,164,46,53,65,5.2
recall,0.0,1311,delta_clean2,dt2,0.020925362552874516,31.006864988558352,32.396088019559905,164,46,53,65,5.2
recall,0.1,1180,delta_clean,dt2,0.08379252256471699,31.006864988558352,32.396088019559905,164,46,53,65,5.2
recall,0.1,1180,delta_clean,dt3,0.026728247466208485,31.006864988558352,32.396088019559905,164,46,53,65,5.2
recall,0.1,1180,delta_clean2,dt2,0.02049678640751243,31.006864988558352,32.396088019559905,164,46,53,65,5.2
recall,0.2,1049,delta_clean,dt2,0.08406353292660301,31.006864988558352,32.396088019559905,164,46,53,65,5.2
recall,0.2,1049,delta_clean,dt3,0.027282763849686392,31.006864988558352,32.396088019559905,164,46,53,65,5.2
recall,0.2,1049,delta_clean2,dt2,0.020656516852843154,31.006864988558352,32.396088019559905,164,46,53,65,5.2
recall,0.3,918,delta_clean,dt2,0.08571364879682165,31.006864988558352,32.396088019559905,164,46,53,65,5.2
recall,0.3,918,delta_clean,dt3,0.029377043642277376,31.006864988558352,32.396088019559905,164,46,53,65,5.2
linear,0.0,1311,clean,dt3,0.021717771121848157,31.365369946605643,32.38386308068459,94,32,24,38,5.099999999999999
geom,0.0,1311,clean,dt3,0.01917104181763058,31.365369946605643,32.38386308068459,94,32,24,38,5.099999999999999
recall,0.0,1311,clean,dt3,0.02054816682947266,31.365369946605643,32.38386308068459,94,32,24,38,5.099999999999999
recall,0.0,1311,clean,gbrt,-0.025883485415730007,32.10526315789474,32.38386308068459,214,58,70,86,5.1
